village_id,candidate_minigrids,existing_minigrids,facilities,grid_extension,existing_grid,distance_to_grid,mean_ndvi,mean_wind_speed,mean_pvout_solar_radiation,total_population,mean_biomass,building_count,permanent_building_count,educational_facilities,health_facilities,social_facilities,services,primary_roads,secondary_roads,tertiary_roads,unclassified_roads,percentage_crop_land,percentage_built_area,contains_protected_area,protected_area_name,electrification_strategy
5502966,0,0,0,0,0,6846.223641538527,0.0,0.0,1662.6180013020833,14.680286407470703,1.7791067251701125,8,3,0,0,0,0,0,0,0,0,25.910000000000004,0.47,False,,Solar home system
5502967,0,0,1,0,0,5641.14910797061,0.0,0.0,1663.4008091517858,248.36593627929688,1.8403761139521837,109,31,0,1,0,0,0,0,0,0,23.3175,1.58,False,,Solar home system
5502968,0,0,0,0,0,6455.215592417772,0.0,0.0,0.0,0.0,1.6126941442489624,0,0,0,0,0,0,0,0,0,0,59.64,0.0,False,,Solar home system
5502969,0,0,0,0,0,8649.916158506163,0.3683911859989166,1.3649976128266912,1668.867947048611,164.2866668701172,1.7007501957939606,70,14,0,0,0,0,0,0,0,0,14.74,0.64,False,,Solar home system
5502970,0,0,0,0,0,9704.593794819395,0.0,0.0,1666.855078125,214.0299530029297,1.7592210007581501,77,12,0,0,0,0,0,0,0,0,12.066666666666668,0.52,False,,Solar home system
5502971,0,0,0,0,0,7586.314286008992,0.0,0.0,1663.16552734375,47.20069122314453,1.8300668326491674,23,4,0,0,0,0,0,0,0,0,16.787499999999998,1.2966666666666666,False,,Solar home system
5502972,0,0,0,0,0,6945.6962851117305,0.0,0.0,1670.4506293402778,400.6759948730469,1.9916584769430326,208,45,0,0,0,0,0,0,0,5,16.86,1.04,False,,Solar home system
5502973,0,0,0,0,0,2853.279287534713,0.0,0.0,1666.4530029296875,64.41010284423828,1.9530807767708767,17,2,0,0,0,0,0,0,0,0,14.446666666666664,0.1166666666666666,False,,Solar home system
5502974,0,0,1,0,0,5303.425795588991,0.0,0.0,1665.996826171875,413.82659912109375,1.9374492981094809,169,66,1,0,0,0,0,0,0,3,15.925,4.1225000000000005,False,,Solar home system
5502975,0,0,0,0,0,4027.408423201606,0.0,0.0,1664.81005859375,128.76158142089844,1.9382868039099526,64,10,0,0,0,0,0,0,0,0,13.9075,1.6575,False,,Solar home system
5502976,0,0,0,1,0,2071.3196581758234,0.0,0.0,1663.3485107421875,132.34271240234375,2.2527668453352585,72,8,0,0,0,0,0,0,0,2,22.543333333333337,2.41,False,,Grid extension
5502979,0,0,0,0,0,10523.91337512525,0.0,0.0,1648.9879954268292,216.1398468017578,3.3655769621321,39,3,0,0,0,0,0,0,0,0,9.9675,0.0066666666666666,False,,Solar home system
5502980,0,1,1,0,0,7716.974050182477,0.0,0.0,1650.3618706597222,708.89208984375,3.0294857706285185,178,39,0,1,0,0,0,0,0,6,13.246666666666664,1.1725,False,,Existing minigrid
5502981,1,0,0,0,0,5754.792027393446,0.0,0.0,1653.7060546875,379.41986083984375,2.872279442330948,144,15,0,0,0,0,0,0,1,0,20.9,0.8325,False,,Candidate minigrid
5502982,0,0,0,0,0,9583.135366791468,0.0,0.0,1648.4342447916667,467.99981689453125,2.8677717828935756,90,8,0,0,0,0,0,0,0,0,10.33,0.8266666666666665,False,,Solar home system
5502983,0,0,1,1,0,6168.668923659726,0.0,0.0,1660.71875,384.4611511230469,2.990405627647112,162,28,1,0,0,0,0,0,0,1,13.093333333333334,0.9975,False,,Grid extension
5502984,0,0,0,0,0,6967.046790553348,0.0,0.0,1656.1764914772727,384.3478088378906,3.2172590845418587,100,11,0,0,0,0,0,0,0,0,16.053333333333335,0.79,False,,Solar home system
5502985,1,0,1,1,0,10781.260892796308,0.0,0.0,1658.05224609375,328.974609375,3.3611775655659377,122,30,1,0,0,0,0,0,0,3,19.98333333333333,1.205,False,,Grid extension
5502986,0,0,0,1,0,9589.750452321205,0.0,0.0,1657.1597222222222,354.8873291015625,3.209731473887214,94,18,0,0,0,0,0,0,0,2,20.02,0.125,False,,Grid extension
5502987,0,0,1,0,0,7970.620440946023,0.0,0.0,1652.0255859375,234.56338500976562,2.5236879006410255,102,19,1,0,0,0,0,0,0,8,24.53,1.0875,False,,Solar home system
5502988,0,0,1,0,0,23285.433211285057,0.41830646991729736,1.364142377860684,1620.5577787769785,646.405029296875,2.813184981931201,249,24,0,1,0,0,0,0,0,5,6.1175,0.0375,False,,Solar home system
5502989,0,0,0,0,0,13559.534473808364,0.0,0.0,1642.7117919921875,184.95053100585938,2.4289438598658903,96,11,0,0,0,0,0,0,1,0,7.275,0.3966666666666666,False,,Solar home system
5502990,0,0,0,0,0,15064.10887698354,0.0,0.0,1638.5116102430557,248.06590270996094,2.7584263544882854,159,9,0,0,0,0,0,0,0,3,10.023333333333332,0.52,False,,Solar home system
5502991,0,1,1,0,0,11693.644213642077,0.38076430559158325,1.4767089960537167,1644.8250558035713,580.752197265625,2.8492203062749004,290,52,1,0,0,0,0,0,1,1,13.405,2.54,False,,Existing minigrid
5502992,0,0,1,0,0,3850.230758825138,0.0,0.0,1662.9830322265625,388.1865234375,1.8676388711008651,144,28,1,0,0,0,0,0,0,0,14.6975,6.175,False,,Solar home system
5502993,0,0,1,0,0,5594.328653271327,0.0,0.0,1645.0860595703125,734.8958740234375,2.0575090296128216,328,29,1,0,0,0,0,0,0,1,13.1525,22.5525,False,,Solar home system
5502994,0,0,0,0,0,6373.129358362677,0.0,0.0,1634.5199497767858,524.135009765625,3.414716643436391,155,18,0,0,0,0,0,0,0,0,11.945,0.1725,True,Lalak Forest Reserve,Solar home system
5502995,0,0,1,0,0,8422.348956211037,0.0,0.0,1637.3113839285713,292.1105651855469,2.4879852639161353,138,12,0,1,0,0,0,0,0,0,37.365,1.2174999999999998,False,,Solar home system
5502996,0,0,0,0,0,6356.349865529585,0.0,0.0,1645.81640625,207.18238830566406,2.1498501192034407,98,5,0,0,0,0,0,0,0,0,25.33333333333333,0.7825,False,,Solar home system
5502997,0,0,0,0,0,9725.05664063333,0.0,0.0,1640.3986002604167,277.4186096191406,2.1636273638960986,35,1,0,0,0,0,0,0,0,1,14.1225,0.045,False,,Solar home system
5502998,0,0,0,0,0,5796.96057612345,0.0,0.0,1656.95703125,152.25477600097656,2.0014439790796907,42,8,0,0,0,0,0,0,0,0,28.52,3.216666666666667,False,,Solar home system
5502999,0,0,0,0,0,6303.988038861985,0.0,0.0,1654.58203125,10.234853744506836,1.91229343759424,0,0,0,0,0,0,0,0,0,0,29.25333333333333,0.08,False,,Solar home system
5503000,0,1,2,0,0,8921.415829329806,0.0,0.0,1649.306712962963,734.2406616210938,1.8655446991047746,111,14,1,0,0,0,0,0,0,1,14.794999999999998,0.5249999999999999,False,,Existing minigrid
5503001,0,0,0,1,0,4387.26727793702,0.0,0.0,1674.1233723958333,387.683837890625,2.0525344220547064,165,29,0,0,0,0,0,0,0,0,16.8875,0.1425,False,,Grid extension
5503002,0,0,1,1,1,868.9364124113679,0.0,0.0,1676.456814236111,603.799560546875,1.893738598601041,330,69,1,0,0,0,0,0,0,1,25.2825,1.815,False,,Grid extension
5503003,1,0,0,1,0,2788.7860345940826,0.0,0.0,1676.810546875,580.5806274414062,2.0364227166038593,287,68,0,0,0,0,0,0,0,0,18.9325,1.175,False,,Grid extension
5503004,0,0,1,0,0,6269.468662033083,0.0,0.0,1667.8533528645833,411.0597839355469,2.6155538202971513,135,29,1,0,0,0,0,0,0,0,24.30666666666667,1.335,True,Aram Forest Reserve,Solar home system
